"coronavirus policy",1,"Report on the comprehensive economic policy response to ...","https://www.consilium.europa.eu/en/press/press-releases/2020/04/09/report-on-the-comprehensive-economic-policy-response-to-the-covid-19-pandemic/","www.consilium.europa.eu",
"coronavirus policy",2,"COVID-19 Guidance: Businesses and Employers | CDC","https://www.cdc.gov/coronavirus/2019-ncov/community/guidance-business-response.html","www.cdc.gov",
"coronavirus policy",3,"OECD investment policy responses to COVID-19","http://www.oecd.org/coronavirus/policy-responses/oecd-investment-policy-responses-to-covid-19-4be0254d/","www.oecd.org",
"coronavirus policy",4,"Italian regional SME policy responses - OECD","http://www.oecd.org/coronavirus/policy-responses/italian-regional-sme-policy-responses-aa0eebbc/","www.oecd.org",
"coronavirus policy",5,"Policy for Coronavirus Disease-2019 Tests During the Public ...","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/policy-coronavirus-disease-2019-tests-during-public-health-emergency-revised","www.fda.gov",
"coronavirus policy",6,"Coronavirus policy updates - 30 October | Scuola ...","https://www.sissa.it/news/coronavirus-policy-updates-30-october","www.sissa.it",
"coronavirus policy",7,"Visiting arrangements in care homes for the period of national ...","https://www.gov.uk/government/publications/visiting-care-homes-during-coronavirus/update-on-policies-for-visiting-arrangements-in-care-homes","www.gov.uk",
"coronavirus policy",8,"Policy brief: Coronavirus response policy needs and ...","https://www.theigc.org/publication/policy-brief-coronavirus-response-policy-needs-and-opportunities/","www.theigc.org",
"coronavirus policy",9,"The coronavirus, markets and public policy: challenges and ...","https://www.oxera.com/agenda/the-coronavirus-markets-and-public-policy-challenges-and-impacts/","www.oxera.com",
"coronavirus policy",10,"Coronavirus | easyJet","https://www.easyjet.com/en/policy/coronavirus","www.easyjet.com",
"coronavirus policy",11,"COVID-19 Medical Misinformation Policy - YouTube Help","https://support.google.com/youtube/answer/9891785?hl=en","support.google.com",
"coronavirus policy",12,"Coronavirus Socio-Economic Research & Responses in the ...","https://people.unipi.it/matteo_villa/jumper-tracker-coronavirus-policy-in-the-world/","people.unipi.it",
"coronavirus policy",13,"EBRD coronavirus policy response","https://www.ebrd.com/what-we-do/coronavirus/coronavirus-policy-response","www.ebrd.com",
"coronavirus policy",14,"Coronavirus policy asks | RPS - Royal Pharmaceutical Society","https://www.rpharms.com/resources/pharmacy-guides/coronavirus-covid-19/coronavirus-policy-asks","www.rpharms.com",
"coronavirus policy",15,"To set coronavirus policy, model lives and livelihoods in lockstep","https://www.nature.com/articles/d41586-020-01504-4","www.nature.com",
"coronavirus policy",16,"Coronavirus travel updates − Travel information − American ...","https://www.aa.com/i18n/travel-info/coronavirus-updates.jsp","www.aa.com",
"coronavirus policy",17,"Dutch measures against coronavirus | Coronavirus COVID-19 ...","https://www.government.nl/topics/coronavirus-covid-19/tackling-new-coronavirus-in-the-netherlands","www.government.nl",
"coronavirus policy",18,"Country policy responses (COVID-19 and the world of work)","https://www.ilo.org/global/topics/coronavirus/country-responses/lang--en/index.htm","www.ilo.org",
"coronavirus policy",19,"Tax and Fiscal Policy in Response to the Coronavirus Crisis ...","https://www.aranagenzia.it/documenti-di-interesse/osservatorio-internazionale/ocse-new/10569-tax-and-fiscal-policy-in-response-to-the-coronavirus-crisis-strengthening-confidence-and-resilience.html","www.aranagenzia.it",
"coronavirus policy",20,"Travel Update Center: Safety & Flexibility | Delta Air Lines","https://www.delta.com/us/en/travel-update-center/overview","www.delta.com",
"coronavirus policy",21,"State Data and Policy Actions to Address Coronavirus | KFF","https://www.kff.org/coronavirus-covid-19/issue-brief/state-data-and-policy-actions-to-address-coronavirus/","www.kff.org",
"coronavirus policy",22,"Coronavirus Policy Coverage Concerns - Marsh","https://www.marsh.com/vn/en/insights/research/coronavirus-policy-coverage-concerns.html","www.marsh.com",
